Seq,Reference,PropersID,Year
348,"Matt 1:16, 18-21, 24a","March 19: Solemnity: St. Joseph, husband of the BVMary (option 1)",1+2
349,Matt 1:18-25,"Advent, Dec. 18",1+2
350,Matt 2:13-18,"Dec 28: Holy Innocents, martyrs",1+2
351,"Matt 4:12-17, 23-25","Mon after Epiphany, or Jan. 7",1+2
352,Matt 4:18-22,"Nov 30: St. Andrew, Apostle",1+2
353,Matt 5:1-12a,Nov 1: Solemnity: All Saints,1+2
354,Matt 5:1-12,"Ord. Time, Week 10, Mon",1+2
355,Matt 5:13-16,"Ord. Time, Week 10, Tues",1+2
356,Matt 5:17-19,"Lent, Week 3, Wed",1+2
357,Matt 5:17-19,"Ord. Time, Week 10, Wed",1+2
358,Matt 5:20-26,"Lent, Week 1, Fri",1+2
359,Matt 5:20-26,"Ord. Time, Week 10, Thurs",1+2
360,Matt 5:27-32,"Ord. Time, Week 10, Fri",1+2
361,Matt 5:33-37,"Ord. Time, Week 10, Sat",1+2
362,Matt 5:38-42,"Ord. Time, Week 11, Mon",1+2
363,Matt 5:43-48,"Lent, Week 1, Sat",1+2
364,Matt 5:43-48,"Ord. Time, Week 11, Tues",1+2
365,"Matt 6:1-6, 16-18",Ash Wednesday,1+2
366,"Matt 6:1-6, 16-18","Ord. Time, Week 11, Wed",1+2
367,Matt 6:19-23,"Ord. Time, Week 11, Fri",1+2
368,Matt 6:24-34,"Ord. Time, Week 11, Sat",1+2
369,Matt 6:7-15,"Lent, Week 1, Tues",1+2
370,Matt 6:7-15,"Ord. Time, Week 11, Thurs",1+2
371,Matt 7:1-5,"Ord. Time, Week 12, Mon",1+2
372,"Matt 7:6, 12-14","Ord. Time, Week 12, Tues",1+2
373,Matt 7:7-12,"Lent, Week 1, Thurs",1+2
374,Matt 7:15-20,"Ord. Time, Week 12, Wed",1+2
375,"Matt 7:21, 24-27","Advent, Week 1, Thurs",1+2
376,Matt 7:21-29,"Ord. Time, Week 12, Thurs",1+2
377,Matt 8:1-4,"Ord. Time, Week 12, Fri",1+2
378,Matt 8:5-11,"Advent, Week 1, Mon",1+2
379,Matt 8:5-17,"Ord. Time, Week 12, Sat",1+2
380,Matt 8:18-22,"Ord. Time, Week 13, Mon",1+2
381,Matt 8:23-27,"Ord. Time, Week 13, Tues",1+2
382,Matt 8:28-34,"Ord. Time, Week 13, Wed",1+2
383,Matt 9:1-8,"Ord. Time, Week 13, Thurs",1+2
384,Matt 9:9-13,"Ord. Time, Week 13, Fri",1+2
385,Matt 9:9-13,"Sept 21: St. Matthew, Apostle and Evangelist",1+2
