Date	DOW	Rite	PropersID_Selected	PropersID_Alt	PropersID_Default	PropersID_Option1	PropersID_Option2	PropersID_Option3	PropersID_Option4	BlankColumn
2027-08-01	Sun	NOE	ORDINARY TIME XVIII		ORDINARY TIME XVIII
2027-08-02	Mon	NOE	Ord Time XVIII:Mon		Ord Time XVIII:Mon	St Eusebius of Vercelli, Bishop	St Peter Julian Eymard, Priest
2027-08-03	Tue	NOE	Ord Time XVIII:Tue		Ord Time XVIII:Tue
2027-08-04	Wed	NOE	St John Mary Vianney, Priest		St John Mary Vianney, Priest
2027-08-05	Thu	NOE	Ord Time XVIII:Thu		Ord Time XVIII:Thu	Dedication of the Basilica of St Mary Major
2027-08-06	Fri	NOE	Transfiguration of the Lord		Transfiguration of the Lord
2027-08-07	Sat	NOE	Ord Time XVIII:Sat		Ord Time XVIII:Sat	Ss Sixtus II, Pope, & Companions, Martyrs	St Cajetan, Priest	Saturday memorial of our Lady
2027-08-08	Sun	NOE	ORDINARY TIME XIX		ORDINARY TIME XIX
2027-08-09	Mon	NOE	St Teresa Benedicta of the Cross, Virgin, Martyr		St Teresa Benedicta of the Cross, Virgin, Martyr
2027-08-10	Tue	NOE	St Laurence, Deacon, Martyr		St Laurence, Deacon, Martyr
2027-08-11	Wed	NOE	St Clare, Virgin		St Clare, Virgin
2027-08-12	Thu	NOE	Ord Time XIX:Thu		Ord Time XIX:Thu	St Jane Frances de Chantal, Religious
2027-08-13	Fri	NOE	Ord Time XIX:Fri		Ord Time XIX:Fri	Ss Pontian, Pope, & Hippolytus, Priest, Martyrs
2027-08-14	Sat	NOE	St Maximilian Kolbe, Priest, Martyr		St Maximilian Kolbe, Priest, Martyr
2027-08-15	Sun	NOE	ASSUMPTION OF OUR LADY		ASSUMPTION OF OUR LADY
2027-08-16	Mon	NOE	Ord Time XX:Mon		Ord Time XX:Mon	St Stephen of Hungary, King
2027-08-17	Tue	NOE	Ord Time XX:Tue		Ord Time XX:Tue
2027-08-18	Wed	NOE	Ord Time XX:Wed		Ord Time XX:Wed
2027-08-19	Thu	NOE	Ord Time XX:Thu		Ord Time XX:Thu	St John Eudes, Priest
2027-08-20	Fri	NOE	St Bernard of Clairvaux, Abbot, Doctor		St Bernard of Clairvaux, Abbot, Doctor
2027-08-21	Sat	NOE	St Pius X, Pope		St Pius X, Pope
2027-08-22	Sun	NOE	ORDINARY TIME XXI		ORDINARY TIME XXI
2027-08-23	Mon	NOE	Ord Time XXI:Mon		Ord Time XXI:Mon	St Rose of Lima, Virgin
2027-08-24	Tue	NOE	St Bartholomew, Apostle		St Bartholomew, Apostle
2027-08-25	Wed	NOE	Ord Time XXI:Wed		Ord Time XXI:Wed	St Louis of France, King		St Joseph Calasanz, Priest
2027-08-26	Thu	NOE	Ord Time XXI:Thu		Ord Time XXI:Thu	Bl Dominic of the Mother of God, Priest
2027-08-27	Fri	NOE	St Monica		St Monica
2027-08-28	Sat	NOE	St Augustine of Hippo, Bishop, Doctor		St Augustine of Hippo, Bishop, Doctor
2027-08-29	Sun	NOE	ORDINARY TIME XXII		ORDINARY TIME XXII
2027-08-30	Mon	NOE	Ord Time XXII:Mon		Ord Time XXII:Mon	Ss Margaret Clitherow, Anne Line, & Margaret Ward, Martyrs
2027-08-31	Tue	NOE	Ord Time XXII:Tue		Ord Time XXII:Tue	St Aidan of Lindisfarne, Bishop, Missionary
2027-09-01	Wed	NOE	Ord Time XXII:Wed		Ord Time XXII:Wed
2027-09-02	Thu	NOE	Ord Time XXII:Thu		Ord Time XXII:Thu
2027-09-03	Fri	NOE	St Gregory the Great, Pope, Doctor		St Gregory the Great, Pope, Doctor
